doy,month,hour,growth_stage,temperature_mean_C,temperature_max_C,temperature_min_C,humidity_pct,wind_speed_2m_ms,rainfall_mm,sunshine_hours,soil_moisture_pct,soil_ph,nitrogen_mgkg,phosphorus_mgkg,potassium_mgkg,crop_health_score,Ra_MJ_m2_day,Rs_MJ_m2_day,Rn_MJ_m2_day,es_kPa,ea_kPa,VPD_kPa,ETo_mm_day,Kc,ETc_mm_day,Ks_stress_coeff,Pe_eff_rain_day_mm,CWR_mm_per_day,soil_fertility_score,fertility_class,irrigation_needed
331,12,14,3,21.41,25.81,15.89,53.31,2.722,3.11,2.2,48.94,6.68,86.9,56.0,167.6,64.1,27.2844,9.5496,5.5968,2.5646,1.3672,1.1974,3.5447,1.15,4.0764,0.9645,0.1022,3.8115,81.06,High,1
88,3,11,4,27.55,32.31,22.19,47.8,5.715,10.98,3.89,40.0,6.23,99.8,36.9,100.3,47.0,36.6207,15.0196,9.2359,3.7565,1.7956,1.9609,7.2667,0.7,5.0867,0.6668,0.3468,3.0164,70.99,Medium,1
100,4,18,4,35.71,41.23,29.8,47.11,1.971,25.89,2.65,39.39,6.96,140.5,36.6,250.3,61.7,37.6609,13.4631,9.0035,6.0329,2.8423,3.1905,5.4341,0.7,3.8038,0.6465,0.7557,1.7238,73.72,Medium,1
360,12,8,2,21.42,26.05,16.45,45.85,4.478,16.04,7.89,51.36,5.56,144.3,43.5,128.2,49.6,26.4846,16.2159,7.3666,2.6215,1.202,1.4195,5.3438,0.85,4.5423,1.0,0.4934,4.0862,61.06,Medium,1
152,6,11,4,28.73,33.94,24.07,77.58,1.011,22.25,11.79,51.23,6.72,166.8,29.3,209.3,56.3,39.2254,27.5392,17.7191,4.1496,3.2191,0.9305,5.8886,0.7,4.122,1.0,0.6624,3.4879,78.2,High,1
131,5,18,4,35.37,40.74,31.48,48.25,0.653,0.0,3.72,26.4,6.21,173.7,38.5,157.9,36.1,39.0363,15.4241,10.1904,6.1454,2.9652,3.1802,4.306,0.7,3.0142,0.2133,0.0,0.6675,64.06,Medium,1
150,5,15,2,35.92,40.45,32.68,52.13,1.954,14.79,9.45,24.12,6.78,141.4,44.7,222.3,56.0,39.2214,24.0303,15.3696,6.2491,3.2576,2.9915,7.1993,0.85,6.1194,0.1375,0.4579,0.3701,64.98,Medium,1
309,11,11,4,26.94,31.55,22.09,50.38,2.782,6.03,6.82,36.24,6.89,213.7,56.0,274.9,68.6,29.5089,16.3306,8.741,3.6474,1.8376,1.8098,5.096,0.7,3.5672,0.5414,0.195,1.7442,82.05,High,1
258,9,10,3,23.15,26.74,18.68,86.95,4.013,189.14,7.99,63.42,7.37,134.1,41.5,293.8,57.3,35.9888,20.8873,13.0117,2.8332,2.4634,0.3699,3.7251,1.15,4.2839,1.0,4.7971,0.0,60.51,Medium,0
344,12,7,1,23.57,27.3,18.29,40.47,1.355,16.3,6.76,51.14,6.02,175.4,34.4,133.8,36.6,26.58,14.8841,6.9029,2.8656,1.1596,1.706,3.5075,0.4,1.403,1.0,0.5009,0.8986,68.62,Medium,1
294,10,15,4,27.47,33.18,23.23,72.89,1.647,28.65,4.76,64.96,6.89,146.0,27.6,156.6,52.1,31.4729,14.4079,9.0137,3.9659,2.8909,1.0751,3.595,0.7,2.5165,1.0,0.8237,1.6653,56.13,Medium,1
192,7,15,3,22.6,28.12,16.64,82.22,2.415,180.27,9.34,64.84,7.0,100.0,36.9,108.0,46.0,39.0637,23.7532,14.7455,2.8501,2.3434,0.5067,4.4314,1.15,5.0961,1.0,4.7676,0.3344,55.82,Medium,1
277,10,7,4,29.94,32.97,25.75,61.71,1.949,9.11,2.35,57.86,6.82,174.9,43.5,237.3,70.5,33.7602,11.8161,7.8316,4.1665,2.5713,1.5952,3.915,0.7,2.7405,1.0,0.2902,2.4525,76.28,High,1
161,6,12,1,25.94,31.54,21.94,86.83,0.374,64.61,10.38,52.31,7.02,144.0,16.1,56.7,39.2,39.2224,25.3505,16.3167,3.6338,3.1552,0.4786,5.1211,0.4,2.0484,1.0,1.4858,0.5601,61.62,Medium,1
314,11,7,2,25.94,29.02,20.33,53.21,1.895,24.85,2.99,34.99,6.39,180.4,35.4,161.5,56.2,28.9141,11.0986,6.59,3.1984,1.7018,1.4966,3.5758,0.85,3.0394,0.4996,0.7295,0.7615,75.72,High,1
22,1,17,1,15.22,19.59,11.03,56.51,1.645,0.0,7.13,51.66,7.6,152.6,54.9,20.0,45.0,28.2343,16.1422,7.8789,1.7978,1.016,0.7818,2.9205,0.4,1.1682,1.0,0.0,1.1468,56.31,Medium,1
253,9,11,4,27.82,31.02,22.2,85.4,2.509,18.23,10.87,49.77,6.47,254.0,23.2,125.8,50.7,36.4771,25.3898,16.4008,3.5869,3.0631,0.5238,5.0532,0.7,3.5372,0.9923,0.5544,2.9687,77.67,High,1
236,8,10,1,31.48,37.38,28.39,80.24,1.051,19.85,7.33,52.75,7.35,231.0,22.5,311.4,68.6,37.7787,20.5436,13.9511,5.1369,4.122,1.0149,4.9269,0.4,1.9708,1.0,0.5985,1.3823,70.84,Medium,1
345,12,9,1,21.98,27.9,16.9,75.94,3.216,29.16,8.16,42.43,6.83,123.6,22.1,256.3,50.3,26.5484,16.5734,8.7377,2.8417,2.1579,0.6838,3.4092,0.4,1.3637,0.7478,0.8359,0.1701,69.78,Medium,0
49,2,12,2,23.34,28.17,20.13,63.15,1.765,45.35,8.7,47.46,6.71,259.5,21.5,276.4,59.3,31.6519,19.9456,10.8955,3.0874,1.9496,1.1378,4.2228,0.85,3.5894,0.9154,1.1826,2.1196,85.51,High,1
59,2,13,4,22.85,27.02,19.4,36.06,1.529,10.38,7.58,60.1,6.32,198.2,36.8,106.0,69.2,33.0574,19.0476,9.5848,2.9117,1.0499,1.8618,4.5402,0.7,3.1782,1.0,0.3289,2.8412,66.88,Medium,1
170,6,9,1,28.39,32.92,23.29,92.51,1.803,22.5,3.07,35.05,7.24,188.4,31.3,65.5,34.0,39.1964,14.3837,10.16,3.9339,3.6393,0.2947,3.1708,0.4,1.2683,0.5016,0.6691,0.014,56.16,Medium,0
188,7,6,1,24.24,29.53,20.37,82.71,2.346,30.88,2.61,54.72,6.6,128.2,10.4,191.2,54.8,39.0973,13.6841,9.2929,3.2608,2.697,0.5639,3.2174,0.4,1.2869,1.0,0.8768,0.4302,70.83,Medium,1
271,10,6,2,29.62,33.29,25.99,68.37,4.423,13.89,2.37,45.69,8.14,183.4,33.9,149.3,52.9,34.5186,12.0815,8.1396,4.2355,2.8957,1.3399,4.7834,0.85,4.0659,0.8565,0.4321,3.0788,56.4,Medium,1
190,7,6,3,29.31,33.63,23.9,78.74,3.226,23.66,7.89,61.74,5.57,155.9,48.1,115.4,49.7,39.0812,21.5746,14.3236,4.0887,3.2193,0.8694,5.1748,1.15,5.9511,1.0,0.6991,5.2615,54.67,Medium,1
175,6,16,4,29.1,34.31,23.26,58.64,1.322,0.0,6.55,47.43,8.31,140.0,11.3,168.2,41.2,39.1753,19.5855,12.3459,4.1338,2.4243,1.7096,4.9286,0.7,3.45,0.9142,0.0,3.1322,43.51,Low,1
51,2,6,3,23.56,27.75,19.87,48.49,3.162,48.3,3.76,48.42,6.58,50.6,2.0,236.8,47.3,31.9332,13.2176,7.6294,3.0221,1.4653,1.5567,4.8219,1.15,5.5452,0.9472,1.2367,4.0537,67.19,Medium,1
364,12,10,3,19.21,22.31,15.26,35.98,1.22,14.33,9.47,48.85,6.92,193.6,43.2,236.8,57.9,26.5983,18.2002,7.405,2.214,0.7966,1.4174,3.313,1.15,3.81,0.9615,0.4448,3.2331,85.16,High,1
55,2,9,2,22.98,27.5,17.84,45.19,1.853,28.94,2.31,55.8,7.15,143.6,13.4,240.4,36.8,32.4969,11.3739,6.9011,2.8573,1.2913,1.566,3.7846,0.85,3.2169,1.0,0.8305,2.3925,55.63,Medium,1
244,9,18,2,25.6,30.81,20.15,76.29,2.36,16.14,4.7,58.31,8.21,99.1,56.0,238.9,59.5,37.2358,16.4039,10.6347,3.4024,2.5958,0.8066,3.9224,0.85,3.334,1.0,0.4962,2.8503,47.75,Low,1
320,11,14,4,21.7,27.63,15.71,55.78,3.008,18.87,5.69,45.22,6.38,71.5,20.4,222.4,36.8,28.2615,14.3069,7.5269,2.7423,1.5296,1.2127,4.1245,0.7,2.8872,0.8406,0.5721,1.8345,69.55,Medium,1
131,5,8,3,37.72,40.83,33.9,54.55,2.384,16.96,6.6,42.64,7.44,158.1,12.9,179.7,47.5,39.0363,19.7975,13.3417,6.4982,3.5447,2.9535,6.8693,1.15,7.8997,0.7545,0.5194,5.4294,59.18,Medium,1
307,11,12,1,26.42,31.04,21.75,58.4,2.8,29.51,2.52,57.52,7.27,186.9,14.0,248.1,54.3,29.7576,10.7702,6.6614,3.5539,2.0755,1.4784,4.0718,0.4,1.6287,1.0,0.8442,0.7504,62.11,Medium,1
135,5,16,3,32.38,36.73,28.98,57.55,3.206,14.27,6.8,45.74,7.04,70.4,4.7,167.2,39.0,39.1037,20.1036,12.9186,5.0914,2.9299,2.1615,6.6877,1.15,7.6908,0.858,0.443,6.1504,58.26,Medium,1
21,1,13,2,17.55,21.28,13.56,71.41,5.404,8.5,8.45,50.53,6.96,189.9,30.1,164.1,45.0,28.1323,17.7726,9.0368,2.0417,1.4581,0.5837,3.5453,0.85,3.0135,1.0,0.2719,2.7446,70.82,Medium,1
329,11,11,1,26.79,31.71,23.66,52.02,4.598,9.98,2.45,56.23,7.17,155.3,27.9,162.3,50.2,27.4383,9.9105,5.8729,3.8002,1.9767,1.8235,5.5142,0.4,2.2057,1.0,0.3168,1.8907,62.55,Medium,1
167,6,17,1,22.89,26.38,19.26,87.14,2.514,0.0,2.62,59.7,7.1,10.0,36.2,145.4,43.8,39.2069,13.7224,9.3258,2.8357,2.4711,0.3646,2.872,0.4,1.1488,1.0,0.0,1.1675,52.64,Medium,1
274,10,18,2,28.21,32.06,23.69,60.85,3.486,5.92,6.68,39.95,6.72,128.0,19.6,240.9,52.4,34.1445,18.1974,10.9796,3.8501,2.3426,1.5075,5.511,0.85,4.6844,0.665,0.1916,2.9267,71.81,Medium,1
89,3,15,1,26.98,32.32,23.48,45.54,2.274,12.51,9.68,49.63,6.76,119.1,16.3,272.7,49.0,36.7188,23.8035,13.1122,3.8674,1.7613,2.1061,6.2588,0.4,2.5035,0.9877,0.392,2.1025,70.69,Medium,1
316,11,18,3,27.0,31.38,21.33,39.36,5.502,10.86,7.87,52.31,7.15,219.0,33.3,144.6,62.4,28.6885,17.3051,8.3701,3.5646,1.403,2.1616,7.5984,1.15,8.7381,1.0,0.3432,8.3934,72.89,Medium,1
14,1,6,2,24.03,30.01,18.9,55.68,0.851,18.31,5.55,42.37,6.78,129.9,41.4,275.9,58.8,27.4898,13.816,7.3126,3.2145,1.7899,1.4245,2.9435,0.85,2.502,0.7458,0.5568,1.3115,80.48,High,1
242,9,13,4,23.95,28.11,20.86,78.0,1.434,95.82,10.59,58.54,6.75,80.9,19.6,195.4,52.7,37.383,25.344,15.3537,3.1348,2.4453,0.6895,4.8505,0.7,3.3954,1.0,3.194,0.2287,66.89,Medium,0
265,9,15,2,28.22,32.61,22.59,89.8,1.636,109.98,10.8,46.48,6.49,113.1,32.6,258.1,51.2,35.2304,24.6985,16.1313,3.8308,3.4401,0.3907,4.9433,0.85,4.2018,0.8827,3.666,0.0428,80.77,High,0
346,12,8,4,21.28,25.18,15.34,59.34,1.722,9.1,4.14,57.31,8.11,125.0,39.1,137.2,53.9,26.5202,11.6722,6.3468,2.4724,1.4672,1.0052,2.8874,0.7,2.0212,1.0,0.2902,1.7165,48.19,Low,1
53,2,13,4,24.05,27.76,19.54,61.89,1.695,0.23,2.3,54.99,7.2,75.6,27.5,161.9,38.6,32.2151,11.2753,7.1404,2.9997,1.8565,1.1432,3.2021,0.7,2.2415,1.0,0.0077,2.2202,54.57,Medium,1
340,12,17,2,22.1,27.87,18.15,44.14,2.882,16.04,8.72,62.23,7.55,151.8,2.0,141.7,34.1,26.7397,17.355,7.6636,2.9173,1.2877,1.6296,4.8222,0.85,4.0988,1.0,0.4934,3.6104,41.5,Low,1
92,4,9,2,38.62,43.87,34.83,46.26,4.48,0.0,9.32,24.43,6.57,131.2,53.7,71.5,50.2,37.0007,23.3838,14.7287,7.304,3.3785,3.9255,10.0781,0.85,8.5664,0.1478,0.0,1.2774,61.94,Medium,1
264,9,13,4,25.7,29.7,22.44,83.07,0.79,32.42,2.73,61.95,7.08,132.8,31.9,91.5,60.1,35.3438,12.8555,8.6436,3.4433,2.8603,0.583,2.8411,0.7,1.9888,1.0,0.9125,1.0917,60.23,Medium,1
35,2,16,4,19.82,24.92,15.35,50.22,3.996,0.0,5.17,47.18,7.19,211.7,49.3,112.6,56.2,29.7522,14.2869,7.5533,2.4482,1.2295,1.2188,4.6979,0.7,3.2886,0.9061,0.0,2.9507,72.67,Medium,1
206,7,6,1,23.21,29.11,20.06,86.57,1.787,52.79,4.21,50.04,6.88,127.4,18.5,216.8,51.4,38.8797,16.0551,10.5881,3.1894,2.7609,0.4285,3.3291,0.4,1.3316,1.0,1.3137,0.0136,72.14,Medium,0
81,3,8,2,29.85,33.07,25.33,65.6,2.822,19.91,5.84,37.81,6.69,164.0,34.7,113.9,50.6,35.8795,17.6918,11.3107,4.1402,2.716,1.4242,5.1214,0.85,4.3532,0.5936,0.6001,1.9925,72.22,Medium,1
50,2,11,2,23.29,27.08,19.53,51.0,3.102,0.76,2.77,43.29,5.67,201.6,36.0,307.4,74.0,31.7925,11.7924,7.0851,2.9271,1.4929,1.4342,4.4509,0.85,3.7833,0.7763,0.0254,2.8746,76.75,High,1
360,12,14,1,22.04,25.64,17.61,38.44,2.718,14.95,2.18,55.06,6.85,113.8,26.0,163.6,54.3,26.4846,9.2696,5.1438,2.652,1.0196,1.6325,4.2157,0.4,1.6863,1.0,0.4626,1.237,67.38,Medium,1
2,1,7,2,20.92,26.53,16.66,32.46,0.942,7.36,7.75,35.96,6.0,138.4,55.8,64.8,58.2,26.7191,16.1671,6.6982,2.6825,0.8709,1.8116,3.1436,0.85,2.672,0.532,0.2368,1.2054,71.26,Medium,1
54,2,16,1,16.96,20.5,13.04,39.08,2.433,7.02,9.59,47.67,6.56,83.3,40.0,196.1,60.0,32.3561,21.5449,10.2983,1.9565,0.7646,1.1919,4.5508,0.4,1.8203,0.9223,0.226,1.4374,78.69,High,1
106,4,6,1,31.05,34.98,26.71,38.75,0.762,1.17,5.35,39.52,6.69,124.4,38.1,210.2,56.4,38.0679,17.6938,10.5422,4.5606,1.7672,2.7933,4.4657,0.4,1.7863,0.6506,0.0389,1.1153,74.51,Medium,1
260,9,15,2,25.81,30.44,21.38,88.67,0.374,60.9,6.45,49.55,7.33,115.9,25.1,228.1,49.3,35.7807,18.5139,12.0333,3.4486,3.058,0.3907,3.7423,0.85,3.1809,0.9852,1.4365,1.6582,65.55,Medium,1
310,11,8,3,20.58,25.44,15.08,51.52,1.42,7.86,2.24,30.28,6.68,224.5,36.8,197.7,50.2,29.3868,10.2854,6.1102,2.4827,1.2791,1.2036,2.8877,1.15,3.3209,0.3425,0.252,0.9082,70.16,Medium,1
191,7,9,4,22.05,27.48,17.06,82.75,1.778,37.22,3.56,45.57,7.08,193.0,21.2,111.3,44.3,39.0726,15.1036,9.965,2.8055,2.3215,0.484,3.1621,0.7,2.2134,0.8522,1.019,0.8596,66.57,Medium,1
218,8,16,2,24.15,28.37,19.85,89.22,3.222,69.64,6.83,46.08,7.31,191.7,38.5,252.7,54.4,38.5886,19.9786,12.9755,3.0897,2.7565,0.3332,3.7355,0.85,3.1752,0.8692,1.5454,1.2139,68.08,Medium,1
44,2,10,3,23.17,27.77,17.46,65.63,2.084,5.46,9.0,45.01,6.69,86.5,19.5,204.0,57.3,30.955,19.9897,10.9402,2.8625,1.8786,0.9839,4.1498,1.15,4.7723,0.8337,0.1772,3.7926,73.83,Medium,1
162,6,8,1,27.99,33.88,22.72,80.05,2.453,243.33,5.78,57.34,6.87,139.1,30.7,318.1,60.4,39.2204,18.4598,12.3147,4.0233,3.2207,0.8026,4.4245,0.4,1.7698,1.0,4.9778,0.0231,77.23,High,0
202,7,18,3,24.31,28.2,21.08,89.43,2.858,8.58,4.93,42.48,6.49,118.9,33.6,84.0,45.7,38.9456,17.1533,11.3912,3.1618,2.8275,0.3343,3.3865,1.15,3.8945,0.7494,0.2743,2.6226,73.42,Medium,1
270,9,15,2,26.89,30.64,23.43,85.52,0.558,148.37,6.95,65.99,8.34,57.3,42.9,126.9,43.6,34.6408,18.7991,12.125,3.6424,3.115,0.5273,3.8547,0.85,3.2765,1.0,4.6612,0.0,27.78,Low,0
351,12,16,2,20.25,25.38,17.0,36.43,1.956,0.0,2.18,57.16,6.34,159.2,45.8,188.2,69.1,26.4299,9.2505,5.0298,2.5894,0.9432,1.6462,3.5913,0.85,3.0526,1.0,0.0,3.0771,74.9,Medium,1
304,11,7,3,25.53,30.84,21.57,37.16,2.232,40.28,2.26,49.1,7.62,242.4,7.7,143.2,48.9,30.1402,10.5491,6.1401,3.5141,1.3057,2.2084,4.5696,1.15,5.2551,0.97,1.083,4.0125,53.75,Medium,1
271,10,7,2,31.68,35.92,27.37,48.6,1.648,0.13,4.91,48.47,6.37,118.1,21.5,112.0,37.1,34.5186,15.7692,9.6248,4.7797,2.323,2.4567,4.9233,0.85,4.1848,0.9489,0.0042,3.958,69.58,Medium,1
215,8,12,4,25.72,29.36,21.21,83.97,2.054,95.75,9.35,67.55,7.25,155.8,40.8,169.7,59.4,38.6767,23.7893,15.239,3.3047,2.7749,0.5298,4.7012,0.7,3.2908,1.0,3.1917,0.0797,55.29,Medium,0
252,9,14,3,25.41,30.75,19.86,86.81,2.466,122.24,2.44,64.91,7.38,182.4,33.4,104.9,53.9,36.5692,12.7992,8.7474,3.3733,2.9283,0.4451,2.9206,1.15,3.3586,1.0,4.0747,0.0187,52.19,Medium,0
190,7,15,1,22.64,27.65,19.59,80.02,2.819,81.54,12.38,48.61,6.34,193.4,26.5,175.2,62.9,39.0812,28.2971,17.0813,2.992,2.3943,0.5977,5.2072,0.4,2.0829,0.9535,2.718,0.0077,78.34,High,0
296,10,7,3,28.22,33.85,23.93,35.04,1.753,14.74,9.22,58.79,7.01,166.0,37.7,209.5,62.2,31.2017,20.3806,9.8154,4.1229,1.4446,2.6783,5.4198,1.15,6.2328,1.0,0.4565,5.7737,61.79,Medium,1
213,8,12,3,24.46,29.99,20.22,78.32,3.273,15.6,10.19,48.55,6.83,138.5,26.8,169.1,43.9,38.7293,25.0753,15.4907,3.3054,2.5888,0.7166,5.1277,1.15,5.8968,0.9516,0.4812,5.1281,66.28,Medium,1
208,7,12,3,26.4,30.02,20.56,63.62,4.199,35.59,11.77,51.37,7.02,162.3,33.5,60.7,49.8,38.8416,27.4512,16.4634,3.3345,2.1216,1.213,6.5371,1.15,7.5177,1.0,0.9836,6.504,66.7,Medium,1
237,8,16,3,20.45,25.94,16.72,79.95,1.132,139.42,8.23,59.71,7.58,125.1,29.0,333.5,58.6,37.7174,21.8816,13.1901,2.6269,2.1003,0.5266,3.959,1.15,4.5529,1.0,4.6314,0.0,53.08,Medium,0
338,12,12,1,21.53,25.06,18.16,57.6,1.752,7.63,8.49,45.16,7.39,256.6,56.0,203.9,76.4,26.839,17.1273,8.2736,2.6317,1.516,1.1157,3.5169,0.4,1.4068,0.8388,0.245,0.9327,79.79,High,1
53,2,8,1,25.05,30.64,21.62,56.29,1.95,14.37,6.78,65.54,6.94,146.2,44.6,127.2,61.0,32.2151,17.5351,9.7984,3.4923,1.9658,1.5266,4.4699,0.4,1.788,1.0,0.4459,1.3357,59.6,Medium,1
280,10,17,1,28.32,33.63,23.76,46.98,0.998,0.0,7.01,48.09,6.41,254.2,19.8,127.3,55.3,33.3672,18.3322,10.2544,4.0768,1.9152,2.1616,4.3488,0.4,1.7395,0.9364,0.0,1.5936,80.03,High,1
217,8,12,3,24.17,28.88,20.0,86.05,2.908,76.0,8.46,69.13,6.95,224.9,40.7,246.5,68.4,38.6192,22.4478,14.2818,3.1576,2.717,0.4406,4.2822,1.15,4.9245,1.0,2.5335,2.4059,66.69,Medium,1
252,9,6,4,25.13,30.06,19.87,70.8,1.455,41.21,3.45,51.12,6.96,271.3,37.0,252.8,69.3,36.5692,14.3187,9.2949,3.2888,2.3286,0.9603,3.4769,0.7,2.4338,1.0,1.102,1.3453,84.08,High,1
188,7,15,4,22.25,25.57,18.28,75.58,4.61,105.78,5.2,36.56,7.55,149.2,13.0,164.2,28.7,39.0973,17.5589,11.1851,2.6885,2.032,0.6565,4.0808,0.7,2.8566,0.5518,3.5259,0.0105,51.47,Medium,0
41,2,6,1,24.95,28.07,21.56,35.43,1.153,1.46,7.92,40.02,7.38,151.9,37.7,186.7,31.6,30.5447,18.3224,8.8092,3.1845,1.1284,2.0562,4.0843,0.4,1.6337,0.6673,0.0483,1.0544,61.62,Medium,1
157,6,10,4,28.06,32.05,23.9,76.69,3.407,37.2,8.82,43.35,5.54,150.1,10.1,181.5,39.0,39.2274,23.0459,14.9186,3.8678,2.9661,0.9017,5.3965,0.7,3.7775,0.7784,1.0186,1.9231,53.93,Medium,1
15,1,7,4,18.47,23.93,12.82,44.25,3.096,15.25,9.42,43.25,6.03,110.2,35.7,280.3,59.9,27.5735,18.7002,8.217,2.2259,0.9849,1.241,4.5214,0.7,3.165,0.775,0.4711,1.9868,74.51,Medium,1
301,11,14,4,26.91,31.31,22.7,47.91,2.379,22.08,10.44,47.61,6.2,82.7,33.4,225.0,45.3,30.5325,21.6751,10.9847,3.6651,1.756,1.9091,5.5395,0.7,3.8777,0.9203,0.658,2.9401,75.49,High,1
65,3,12,4,26.36,30.03,20.86,49.28,2.55,21.11,10.06,43.4,6.45,98.9,40.1,151.5,46.5,33.8817,23.0179,12.4556,3.3587,1.6552,1.7034,5.7953,0.7,4.0567,0.7801,0.6323,2.5235,80.5,High,1
345,12,9,4,21.06,26.56,16.95,54.49,1.247,8.54,5.75,42.07,6.52,179.1,14.7,253.7,55.6,26.5484,13.6399,6.8187,2.7031,1.473,1.2301,2.9631,0.7,2.0742,0.7358,0.2729,1.2654,77.08,High,1
327,11,9,2,29.63,33.32,25.79,32.36,0.512,36.43,9.33,45.59,6.8,185.9,27.4,277.2,49.3,27.6032,18.5792,8.129,4.2207,1.366,2.8547,3.4064,0.85,2.8954,0.853,1.0019,1.4817,77.59,High,1
9,1,7,1,26.0,31.45,20.68,43.4,5.067,11.44,9.66,55.14,6.76,119.1,21.2,285.2,51.3,27.1147,18.7286,8.5327,3.5239,1.5294,1.9945,6.9568,0.4,2.7827,1.0,0.3604,2.392,71.38,Medium,1
344,12,10,3,18.38,22.74,14.76,61.78,0.572,32.48,8.0,53.63,6.86,80.2,33.6,226.3,56.8,26.58,16.3928,7.8512,2.2223,1.3731,0.8493,2.5196,1.15,2.8975,1.0,0.9139,2.0042,67.97,Medium,1
129,5,9,4,31.8,36.19,28.11,61.96,2.771,16.51,7.42,39.81,6.82,187.0,28.5,212.6,62.7,38.9953,21.0536,13.5932,4.9039,3.0383,1.8656,6.2545,0.7,4.3781,0.6603,0.5066,2.3893,77.32,High,1
136,5,17,2,32.37,36.19,29.22,52.56,3.877,20.77,9.64,44.98,6.12,158.6,41.4,185.8,61.4,39.1177,24.411,15.0152,5.0305,2.6439,2.3866,8.0446,0.85,6.8379,0.8326,0.6233,5.092,76.42,High,1
63,3,18,3,31.97,37.67,28.4,52.77,0.374,15.92,2.34,51.32,6.11,188.9,36.8,219.4,52.9,33.6099,11.7635,7.6739,5.1877,2.7377,2.45,2.9881,1.15,3.4363,1.0,0.49,2.9616,69.94,Medium,1
139,5,6,2,33.48,36.75,29.35,40.73,2.077,1.76,7.11,42.02,7.33,97.0,20.0,167.9,41.6,39.1536,20.5561,12.3962,5.1378,2.0925,3.0453,6.6461,0.85,5.6492,0.7339,0.0581,4.0901,56.61,Medium,1
81,3,17,4,24.31,27.75,20.12,48.27,1.804,0.0,10.25,32.13,7.41,154.8,40.9,91.8,53.5,35.8795,24.2928,13.1626,3.0399,1.4673,1.5727,5.3532,0.7,3.7472,0.4042,0.0,1.5199,52.52,Medium,1
163,6,13,4,30.08,34.99,25.82,90.22,1.447,125.4,4.46,42.24,6.78,87.7,28.6,208.3,47.5,39.2182,16.4832,11.6132,4.4724,4.0351,0.4374,3.8041,0.7,2.6629,0.7414,4.1801,0.0001,71.44,Medium,0
289,10,8,4,29.48,35.04,25.05,39.55,1.272,8.04,2.31,39.75,6.44,124.0,28.6,205.2,57.0,32.1543,11.254,6.8532,4.405,1.7424,2.6626,3.9095,0.7,2.7367,0.6585,0.2578,1.5644,77.89,High,1
